epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1294.43,0.82826,0.45123,0.86629,0.90373,0.88267,0.88493,0.52968,1.01345,0.48437,0.82755,0.0007294,0.0007294,0.0007294
43,1324.64,0.84394,0.45091,0.86442,0.91551,0.86882,0.88212,0.53237,1.02442,0.48511,0.81741,0.0007228,0.0007228,0.0007228
44,1354.98,0.81723,0.43618,0.8619,0.90602,0.87126,0.88098,0.53608,1.03359,0.48179,0.82559,0.0007162,0.0007162,0.0007162
45,1385.31,0.81381,0.43988,0.86198,0.93818,0.87963,0.89025,0.53434,1.04882,0.47662,0.82249,0.0007096,0.0007096,0.0007096
46,1415.33,0.8067,0.43195,0.8587,0.89672,0.88447,0.889,0.5254,1.058,0.47214,0.82045,0.000703,0.000703,0.000703
47,1445.34,0.82053,0.43782,0.86523,0.90462,0.87746,0.90154,0.53575,1.03893,0.47573,0.82323,0.0006964,0.0006964,0.0006964
48,1475.65,0.81895,0.44271,0.86188,0.92873,0.88193,0.89831,0.53723,1.0299,0.47229,0.82717,0.0006898,0.0006898,0.0006898
49,1505.91,0.80375,0.43606,0.86409,0.90564,0.88943,0.90048,0.53357,1.02472,0.4688,0.8183,0.0006832,0.0006832,0.0006832
50,1535.99,0.79406,0.42699,0.85453,0.90581,0.88544,0.90231,0.52123,1.07789,0.47828,0.83532,0.0006766,0.0006766,0.0006766
51,1566.05,0.81164,0.43397,0.85794,0.94527,0.86438,0.88509,0.53545,1.03252,0.4615,0.82774,0.00067,0.00067,0.00067
52,1596.44,0.80427,0.42583,0.86205,0.90459,0.8733,0.87821,0.52978,1.03326,0.46916,0.82031,0.0006634,0.0006634,0.0006634
53,1626.48,0.8059,0.43112,0.85579,0.92044,0.89022,0.8949,0.53041,1.03511,0.46096,0.82309,0.0006568,0.0006568,0.0006568
54,1656.48,0.80017,0.42646,0.85339,0.93652,0.8641,0.89736,0.53105,1.03187,0.47383,0.82245,0.0006502,0.0006502,0.0006502
55,1686.39,0.79871,0.42251,0.85322,0.91759,0.88528,0.90152,0.54063,1.04128,0.46586,0.82333,0.0006436,0.0006436,0.0006436
56,1717.31,0.79684,0.42297,0.85719,0.93334,0.87833,0.888,0.51981,1.08828,0.46854,0.82371,0.000637,0.000637,0.000637
57,1747.65,0.79758,0.42521,0.85799,0.91496,0.86959,0.87719,0.53603,1.06054,0.46331,0.82762,0.0006304,0.0006304,0.0006304
58,1778.07,0.78438,0.42176,0.85661,0.93116,0.88537,0.89979,0.53881,1.03118,0.47692,0.82066,0.0006238,0.0006238,0.0006238
59,1808.2,0.79088,0.42521,0.85764,0.93408,0.88091,0.89438,0.52696,1.05288,0.48765,0.82722,0.0006172,0.0006172,0.0006172
60,1838.47,0.77817,0.4152,0.85089,0.94611,0.89351,0.90969,0.54277,1.02217,0.46292,0.82002,0.0006106,0.0006106,0.0006106
61,1868.77,0.78897,0.42143,0.85125,0.91982,0.902,0.89822,0.52069,1.07543,0.4818,0.82481,0.000604,0.000604,0.000604
62,1899.26,0.79809,0.42086,0.85565,0.93334,0.89445,0.90568,0.54101,1.04789,0.4733,0.82614,0.0005974,0.0005974,0.0005974
63,1929.41,0.77123,0.40865,0.85718,0.95787,0.90381,0.91311,0.54186,1.04288,0.45604,0.82718,0.0005908,0.0005908,0.0005908
64,1959.45,0.76677,0.40737,0.85157,0.93055,0.89516,0.91213,0.54705,1.05206,0.4612,0.83144,0.0005842,0.0005842,0.0005842
65,1989.98,0.78737,0.41685,0.85265,0.9128,0.8765,0.87402,0.52455,1.0603,0.46579,0.82742,0.0005776,0.0005776,0.0005776
66,2020.33,0.76929,0.41072,0.84854,0.95404,0.88624,0.90368,0.54141,1.03233,0.45417,0.82423,0.000571,0.000571,0.000571
67,2050.49,0.77435,0.41124,0.85405,0.92537,0.8959,0.9074,0.5457,1.04586,0.45547,0.82562,0.0005644,0.0005644,0.0005644
68,2080.65,0.76754,0.40694,0.8512,0.9332,0.89784,0.89957,0.53855,1.04367,0.45568,0.82183,0.0005578,0.0005578,0.0005578
69,2110.86,0.76553,0.40583,0.85119,0.94768,0.8842,0.89914,0.54711,1.02537,0.43702,0.82317,0.0005512,0.0005512,0.0005512
70,2141.42,0.7663,0.40625,0.8496,0.93288,0.90504,0.908,0.55209,1.01713,0.44542,0.81994,0.0005446,0.0005446,0.0005446
71,2171.68,0.77377,0.40766,0.85197,0.91797,0.88787,0.87905,0.52866,1.02006,0.45785,0.81694,0.000538,0.000538,0.000538
72,2202.17,0.7554,0.4057,0.84846,0.91451,0.90305,0.89804,0.52915,1.08488,0.47295,0.83478,0.0005314,0.0005314,0.0005314
73,2232.14,0.75883,0.39829,0.84787,0.94332,0.90481,0.91755,0.56107,1.024,0.44908,0.82029,0.0005248,0.0005248,0.0005248
74,2262.66,0.7379,0.39905,0.84199,0.91563,0.89346,0.89928,0.54141,1.07012,0.45621,0.82162,0.0005182,0.0005182,0.0005182
75,2292.56,0.75026,0.39956,0.84774,0.93463,0.90283,0.90329,0.54583,1.06186,0.44525,0.8217,0.0005116,0.0005116,0.0005116
76,2322.65,0.75711,0.40429,0.84718,0.93669,0.90159,0.91456,0.55721,1.02263,0.44243,0.81851,0.000505,0.000505,0.000505
77,2352.57,0.7416,0.39305,0.84836,0.92292,0.90206,0.90959,0.54824,1.03809,0.45418,0.82289,0.0004984,0.0004984,0.0004984
78,2382.54,0.74037,0.39024,0.84653,0.93375,0.90236,0.90922,0.54429,1.02916,0.44533,0.82542,0.0004918,0.0004918,0.0004918
79,2412.45,0.74945,0.39797,0.84969,0.89201,0.88608,0.88771,0.55059,1.01144,0.44584,0.82017,0.0004852,0.0004852,0.0004852
80,2442.41,0.74386,0.39585,0.84283,0.94071,0.88865,0.89906,0.54157,1.05999,0.45514,0.81951,0.0004786,0.0004786,0.0004786
81,2472.46,0.73178,0.39144,0.84293,0.93254,0.89359,0.89395,0.54762,1.02143,0.44781,0.81548,0.000472,0.000472,0.000472
82,2502.87,0.73191,0.38436,0.8436,0.9343,0.90101,0.90279,0.54591,1.04528,0.43422,0.82239,0.0004654,0.0004654,0.0004654
83,2532.85,0.73807,0.38996,0.84925,0.93945,0.87429,0.89239,0.5353,1.05341,0.44569,0.82467,0.0004588,0.0004588,0.0004588
84,2562.84,0.73341,0.38473,0.84384,0.92185,0.90079,0.90358,0.55819,1.01081,0.43548,0.81834,0.0004522,0.0004522,0.0004522
85,2592.92,0.73245,0.38808,0.84492,0.92277,0.91026,0.9056,0.55352,0.99615,0.43625,0.81404,0.0004456,0.0004456,0.0004456
86,2622.93,0.72793,0.38888,0.84281,0.94027,0.89044,0.90186,0.54732,1.04984,0.44299,0.82203,0.000439,0.000439,0.000439
87,2653.03,0.74024,0.39349,0.84373,0.91176,0.88466,0.88217,0.54491,1.04002,0.44824,0.8183,0.0004324,0.0004324,0.0004324
88,2683.05,0.70844,0.38095,0.84357,0.9518,0.90475,0.90983,0.54958,1.04612,0.44173,0.82707,0.0004258,0.0004258,0.0004258
89,2713.07,0.71436,0.38546,0.84542,0.94071,0.90082,0.9039,0.55113,1.02317,0.43493,0.82132,0.0004192,0.0004192,0.0004192
90,2743,0.72594,0.38466,0.84531,0.94541,0.89787,0.91128,0.55279,1.0438,0.43218,0.82188,0.0004126,0.0004126,0.0004126
91,2773,0.70555,0.37597,0.84212,0.937,0.90505,0.90797,0.54812,1.03024,0.43413,0.82562,0.000406,0.000406,0.000406
92,2803.42,0.71926,0.38403,0.8433,0.94446,0.90648,0.90458,0.54633,1.04292,0.4377,0.82356,0.0003994,0.0003994,0.0003994
93,2833.47,0.70328,0.37372,0.83892,0.94225,0.90138,0.91457,0.54991,1.04617,0.4351,0.81734,0.0003928,0.0003928,0.0003928
